NL input,Key Values,Cypher Query
"Following the submission of a purchase request, at least one of approving the request or marking it as needing clarification must be performed afterward.","Activity: [""Submit Purchase Request"", ""Approve Request"", ""Mark Clarification Needed""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Submit Purchase Request""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Approve Request""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Mark Clarification Needed""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If a ticket is created for a customer issue, then resolving the ticket or escalating it to a supervisor must occur afterward.","Activity: [""Create Ticket"", ""Resolve Ticket"", ""Escalate Ticket""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Create Ticket""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Resolve Ticket""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Escalate Ticket""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If an employee clock-in occurs, then logging the start of work or reporting to a supervisor (or both) must follow.","Activity: [""Employee Clock-In"", ""Log Start of Work"", ""Report to Supervisor""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Employee Clock-In""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Log Start of Work""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Report to Supervisor""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If a contract draft is shared with a client, then feedback must be received from the client or the contract must be signed within the next 14 days.","Activity: [""Share Draft"", ""Receive Feedback"", ""Sign Contract""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Share Draft""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Receive Feedback""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp AND e2.timestamp <= e1.timestamp + duration({days: 14}) OPTIONAL MATCH (e3:Event {Activity: ""Sign Contract""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp AND e3.timestamp <= e1.timestamp + duration({days: 14}) WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If a shipment is dispatched, then delivering the shipment or marking it as returned must follow.","Activity: [""Dispatch Shipment"", ""Deliver Shipment"", ""Mark Shipment Returned""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Dispatch Shipment""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Deliver Shipment""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Mark Shipment Returned""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Following the initiation of a refund process, refund approval or rejection must occur.","Activity: [""Initiate Refund"", ""Approve Refund"", ""Reject Refund""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Initiate Refund""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Approve Refund""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Reject Refund""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If a claim is submitted, then verifying the claim or rejecting it (or both) must occur afterward.","Activity: [""Submit Claim"", ""Verify Claim"", ""Reject Claim""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Submit Claim""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Verify Claim""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Reject Claim""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If an onboarding session is scheduled for an employee, then completing the session or rescheduling it must happen afterward.","Activity: [""Schedule Onboarding"", ""Complete Onboarding"", ""Reschedule Onboarding""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Schedule Onboarding""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Complete Onboarding""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Reschedule Onboarding""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If an initial consultation is held with a client, then either drafting a proposal or scheduling a follow-up meeting (or both) must follow.","Activity: [""Initial Consultation"", ""Draft Proposal"", ""Schedule Follow-Up""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Initial Consultation""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Draft Proposal""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Schedule Follow-Up""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If a task involving the registration of a new account is carried out, then either verifying the email or adding payment details (or both) must follow.","Activity: [""Create Account"", ""Verify Email"", ""Add Payment Info""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Create Account""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Verify Email""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Add Payment Info""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Following the submission of a purchase request, at least one of approving the request or marking it as needing clarification must be performed afterward.","Activity: [""Submit Purchase Request"", ""Approve Request"", ""Mark Clarification Needed""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Submit Purchase Request""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Approve Request""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Mark Clarification Needed""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If a ticket is created for a customer issue, then resolving the ticket or escalating it to a supervisor must occur afterward.","Activity: [""Create Ticket"", ""Resolve Ticket"", ""Escalate Ticket""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Create Ticket""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Resolve Ticket""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Escalate Ticket""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If an employee clock-in occurs, then logging the start of work or reporting to a supervisor (or both) must follow.","Activity: [""Employee Clock-In"", ""Log Start of Work"", ""Report to Supervisor""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Employee Clock-In""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Log Start of Work""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Report to Supervisor""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If a contract draft is shared with a client, then feedback must be received from the client or the contract must be signed within the next 14 days.","Activity: [""Share Draft"", ""Receive Feedback"", ""Sign Contract""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Share Draft""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Receive Feedback""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp AND e2.timestamp <= e1.timestamp + duration({days: 14}) OPTIONAL MATCH (e3:Event {Activity: ""Sign Contract""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp AND e3.timestamp <= e1.timestamp + duration({days: 14}) WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If a shipment is dispatched, then delivering the shipment or marking it as returned must follow.","Activity: [""Dispatch Shipment"", ""Deliver Shipment"", ""Mark Shipment Returned""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Dispatch Shipment""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Deliver Shipment""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Mark Shipment Returned""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Following the initiation of a refund process, refund approval or rejection must occur.","Activity: [""Initiate Refund"", ""Approve Refund"", ""Reject Refund""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Initiate Refund""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Approve Refund""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Reject Refund""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If a claim is submitted, then verifying the claim or rejecting it (or both) must occur afterward.","Activity: [""Submit Claim"", ""Verify Claim"", ""Reject Claim""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Submit Claim""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Verify Claim""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Reject Claim""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If an onboarding session is scheduled for an employee, then completing the session or rescheduling it must happen afterward.","Activity: [""Schedule Onboarding"", ""Complete Onboarding"", ""Reschedule Onboarding""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Schedule Onboarding""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Complete Onboarding""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Reschedule Onboarding""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If an initial consultation is held with a client, then either drafting a proposal or scheduling a follow-up meeting (or both) must follow.","Activity: [""Initial Consultation"", ""Draft Proposal"", ""Schedule Follow-Up""], EntityType: [], Actor: []","MATCH (e1:Event {Activity: ""Initial Consultation""})-[:CORR]->(entity:Entity) OPTIONAL MATCH (e2:Event {Activity: ""Draft Proposal""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp OPTIONAL MATCH (e3:Event {Activity: ""Schedule Follow-Up""})-[:CORR]->(entity) WHERE e1.timestamp < e3.timestamp WITH e1, count(e2) + count(e3) AS succeedingCount RETURN CASE WHEN any(e IN collect(succeedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Each time an item is delivered, it must be immediately preceded by its shipment dispatch for the same object.","Activity: [""deliver item"", ""dispatch shipment""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""deliver item""}) OPTIONAL MATCH (e1:Event {Activity: ""dispatch shipment""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Before generating an invoice, there must always be a directly preceding order approval event for the same instance.","Activity: [""generate invoice"", ""approve order""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""generate invoice""}) OPTIONAL MATCH (e1:Event {Activity: ""approve order""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Whenever an appointment is confirmed, scheduling the appointment must directly precede it.","Activity: [""confirm appointment"", ""schedule appointment""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""confirm appointment""}) OPTIONAL MATCH (e1:Event {Activity: ""schedule appointment""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"For every meal served, an order for that meal must have been placed directly beforehand.","Activity: [""serve meal"", ""place order""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""serve meal""}) OPTIONAL MATCH (e1:Event {Activity: ""place order""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Before marking a task as completed, it must be assigned to a user immediately beforehand.","Activity: [""mark task completed"", ""assign task""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""mark task completed""}) OPTIONAL MATCH (e1:Event {Activity: ""assign task""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Each time a shipment is packaged, its corresponding order must have been verified directly beforehand.","Activity: [""package shipment"", ""verify order""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""package shipment""}) OPTIONAL MATCH (e1:Event {Activity: ""verify order""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Whenever a product is added to inventory, its production must immediately precede it for the same object.","Activity: [""add to inventory"", ""produce item""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""add to inventory""}) OPTIONAL MATCH (e1:Event {Activity: ""produce item""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Before signing off a report, the report must be drafted immediately beforehand for the same entity.","Activity: [""sign report"", ""draft report""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""sign report""}) OPTIONAL MATCH (e1:Event {Activity: ""draft report""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Before uploading a document to the server, the document must be created immediately beforehand for the same instance.","Activity: [""upload document"", ""create document""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""upload document""}) OPTIONAL MATCH (e1:Event {Activity: ""create document""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Each time a ""Schedule Meeting"" event occurs, it must be immediately preceded by a ""Confirm Availability"" event for the same object.","Activity: [""Schedule Meeting"", ""Confirm Availability""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Schedule Meeting""}) OPTIONAL MATCH (e1:Event {Activity: ""Confirm Availability""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Every time the ""Prepare Presentation"" activity is completed, it must be immediately preceded by a ""Gather Materials"" task for the same entity.","Activity: [""Prepare Presentation"", ""Gather Materials""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Prepare Presentation""}) OPTIONAL MATCH (e1:Event {Activity: ""Gather Materials""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Directly before the ""Submit Invoice"" activity is carried out, the ""Create Invoice"" activity must always be completed.","Activity: [""Submit Invoice"", ""Create Invoice""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Submit Invoice""}) OPTIONAL MATCH (e1:Event {Activity: ""Create Invoice""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"A ""Check Inventory"" event must always happen directly before a ""Place Order"" eventcan occur for the same instance.","Activity: [""Check Inventory"", ""Place Order""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Place Order""}) OPTIONAL MATCH (e1:Event {Activity: ""Check Inventory""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If an event with activity ""Book Flight"" occurs, it must be immediately preceded by a ""Confirm Availability"" event for the same traveler.","Activity: [""Book Flight"", ""Confirm Availability""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Book Flight""}) OPTIONAL MATCH (e1:Event {Activity: ""Confirm Availability""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Every time a ""Complete Survey"" event occurs, it must be immediately preceded by a ""Send Invitation"" event for the same respondent.","Activity: [""Complete Survey"", ""Send Invitation""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Complete Survey""}) OPTIONAL MATCH (e1:Event {Activity: ""Send Invitation""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Every ""Publish Article"" event must be immediately preceded by a ""Write Article"" event for the same writer.","Activity: [""Publish Article"", ""Write Article""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Publish Article""}) OPTIONAL MATCH (e1:Event {Activity: ""Write Article""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Every time the ""Send Email"" activity occurs, it must be immediately preceded by a ""Create Report"" event for the same employee.","Activity: [""Send Email"", ""Create Report""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Send Email""}) OPTIONAL MATCH (e1:Event {Activity: ""Create Report""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"Each time a ""Submit Feedback"" event occurs, it must be directly preceded by a ""Complete Survey"" event for the same participant.","Activity: [""Submit Feedback"", ""Complete Survey""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Submit Feedback""}) OPTIONAL MATCH (e1:Event {Activity: ""Complete Survey""})-[:DF]->(e2) WITH e2, count(e1) AS precedingCount RETURN CASE WHEN any(e IN collect(precedingCount) WHERE e = 0) THEN false ELSE true END AS ruleSatisfied"
"If the activity ""Create Invoice"" occurs, then the activity ""Create Order"" cannot be performed before it.","Activity: [""Create Invoice"", ""Create Order""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Create Invoice""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Create Order""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
"If a ""Login"" event occurs, then the ""Logout"" event may not occur before the ""Login"" for the same object.","Activity: [""Login"", ""Logout""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Login""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Logout""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
"When an event of type ""Start Work"" occurs, no event of type ""End Work"" may occur before it for the same instance.","Activity: [""Start Work"", ""End Work""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Start Work""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""End Work""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
"When a ""Booking"" event occurs, a ""Payment"" event must not have occurred before it for the same entity.","Activity: [""Booking"", ""Payment""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Booking""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Payment""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
"If an event of type ""Check-out"" occurs, a ""Reservation"" event must not have occurred before for the same object.","Activity: [""Check-out"", ""Reservation""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Check-out""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Reservation""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
"If a ""Start Task"" event happens, a ""Finish Task"" event must not have happened before it for the same entity.","Activity: [""Start Task"", ""Finish Task""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Start Task""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Finish Task""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
"If a ""Start Session"" event occurs, a ""End Session"" event cannot occur before it.","Activity: [""Start Session"", ""End Session""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Start Session""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""End Session""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
"If an ""Add to Cart"" event occurs, a ""Proceed to Checkout"" event must not have happened before it.","Activity: [""Add to Cart"", ""Proceed to Checkout""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Add to Cart""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Proceed to Checkout""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
"When a ""Make Payment"" event occurs, the ""Place Order"" event must not have occurred before it for the same object.","Activity: [""Make Payment"", ""Place Order""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Make Payment""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Place Order""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
"Before the meeting starts, setting up the projector is not allowed.","Activity: [""Set Up Projector"", ""Meeting Start""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Meeting Start""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Set Up Projector""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
Cleaning the classroom cannot happen before the students leave.,"Activity: [""Clean Classroom"", ""Students Leave""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Students Leave""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Clean Classroom""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
You can’t start the dishwasher until the dishes are loaded.,"Activity: [""Start Dishwasher"", ""Load Dishes""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Load Dishes""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Start Dishwasher""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
You cannot clock out of work before you’ve clocked in.,"Activity: [""Clock out"", ""Clock in""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Clock in""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Clock out""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
Taking a test cannot happen before attending the lecture.,"Activity: [""Take Test"", ""Attend Lecture""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Attend Lecture""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Take Test""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
A customer cannot be refunded before their purchase has been recorded.,"Activity: [""Refund Issued"", ""Purchase Recorded""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Purchase Recorded""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Refund Issues""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
Uploading a file is not possible before creating a folder for it.,"Activity: [""Upload File"", ""Create Folder""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Create Folder""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Upload File""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
Reading the ending of a book is not allowed before finishing the middle chapters.,"Activity: [""Read Ending"", ""Read Middle Chapters""], EntityType: [], Actor: []","MATCH (e2:Event {Activity: ""Read Middle Chapters""})-[:CORR]->(entity:Entity) MATCH (e1:Event {Activity: ""Read Ending""})-[:CORR]->(entity) WHERE e1.timestamp < e2.timestamp RETURN CASE WHEN COUNT(entity)>0 THEN false ELSE true END AS ruleSatisfied"
